Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset,PiRFLow,PiRFHigh,KRFLow,KRFHigh,pRFLow,pRFHigh
5049,5049,4.008,0.25,2,6,0,0.19,0.02,-1.25,1.5,2.5,0.75,1.75,0,0.75
5050,5050,4.008,0.25,2,6,0,0.09,0.16,-1.25,1.5,2.5,0.75,1.75,0,0.75
5051,5051,4.008,0.25,2,6,0,0.09,0.22,-1.25,1.5,2.5,0.75,1.75,0,0.75
5052,5052,4.008,0.25,2,6,0,0.13,0.22,-1.25,1.5,2.5,0.75,1.75,0,0.75
5053,5053,4.008,0.25,2,6,0,0.09,0.16,-1.25,1.5,2.5,0.75,1.75,0,0.75
5054,5054,4.008,0.25,2,6,0,0.1,0.22,-1.25,1.5,2.5,0.75,1.75,0,0.75
5055,5055,4.008,0.25,2,6,0,0.06,0.2,-1.25,1.5,2.5,0.75,1.75,0,0.75
5056,5056,4.008,0.25,2,6,0,0.08,0.11,-1.25,1.5,2.5,0.75,1.75,0,0.75
5057,5057,4.008,0.25,2,6,0,0.13,0.13,-1.25,1.5,2.5,0.75,1.75,0,0.75
5058,5058,4.008,0.25,2,6,0,0.09,0.18,-1.25,1.5,2.5,0.75,1.75,0,0.75
5059,5059,4.008,0.25,2,6,0,0.12,0.2,-1.25,1.5,2.5,0.75,1.75,0,0.75
5060,5060,4.008,0.25,2,6,0,0.06,0.25,-1.25,1.5,2.5,0.75,1.75,0,0.75
5062,5062,4.008,0.25,2,6,0,0.1,0.13,-1.25,1.5,2.5,0.75,1.75,0,0.75
5063,5063,4.008,0.25,2,6,0,0.01,0.34,-1.25,1.5,2.5,0.75,1.75,0,0.75
5064,5064,4.008,0.25,2,6,0,0.09,0.16,-1.25,1.5,2.5,0.75,1.75,0,0.75
5065,5065,4.008,0.25,2,6,0,0.11,0.21,-1.25,1.5,2.5,0.75,1.75,0,0.75
5066,5066,4.008,0.25,2,6,0,0.13,0.11,-1.25,1.5,2.5,0.75,1.75,0,0.75
5067,5067,4.008,0.25,2,6,0,0.17,0.24,-1.25,1.5,2.5,0.75,1.75,0,0.75
5068,5068,4.008,0.25,2,6,0,0.1,0.11,-1.25,1.5,2.5,0.75,1.75,0,0.75
5069,5069,4.008,0.25,2,6,0,0.11,0.19,-1.25,1.5,2.5,0.75,1.75,0,0.75
5070,5070,4.008,0.25,2,6,0,0.09,0.42,-1.25,1.5,2.5,0.75,1.75,0,0.75
5071,5071,4.008,0.25,2,6,0,0.12,0.2,-1.25,1.5,2.5,0.75,1.75,0,0.75
5072,5072,4.008,0.25,2,6,0,0.13,0.22,-1.25,1.5,2.5,0.75,1.75,0,0.75
5073,5073,4.008,0.25,2,6,0,0.13,0.17,-1.25,1.5,2.5,0.75,1.75,0,0.75
5075,5075,4.008,0.25,2,6,0,0.09,0.11,-1.25,1.5,2.5,0.75,1.75,0,0.75
5076,5076,4.008,0.25,2,6,0,0.12,0.2,-1.25,1.5,2.5,0.75,1.75,0,0.75
5077,5077,4.008,0.25,2,6,0,0.1,0.23,-1.25,1.5,2.5,0.75,1.75,0,0.75
5078,5078,4.008,0.25,2,6,0,0.09,0.51,-1.29,1.5,2.5,0.75,1.75,0,0.75
