Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,12,264,288,72.0,0.039064400730810064,0.004613099976995482,11.80896133229847
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,13,288,312,516.0,0.26906184090334634,0.01188011409018692,4.415384229254029
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,14,312,336,879.0,0.4267170334064415,0.01446906977206619,3.390787955325097
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,15,336,360,1037.0,0.47965878377316346,0.015025204341147695,3.132477679852789
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,1,0,24,1371.0,0.5335502613098718,0.01460950302572672,2.738168094953272
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,2,24,48,1265.0,0.532318070645821,0.015112985973082626,2.8390894103495654
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,3,48,72,918.0,0.4175903110726949,0.013848104461299785,3.316193909223406
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,4,72,96,279.0,0.13332082479883967,0.008001318066800735,6.00155157971268
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,5,96,120,32.0,0.015732179743285998,0.0027864908791651664,17.712045785355038
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,6,120,144,6.0,0.002780692195617828,0.0011353148957393162,40.82849937610827
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,7,144,168,10.0,0.004747448304894231,0.00150375580706802,31.67503278588143
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,8,168,192,5.0,0.002546616324861791,0.0011402095234768262,44.77351033782866
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,9,192,216,4.0,0.0019133989690218794,0.0009573625441319096,50.0346534952566
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,10,216,240,9.0,0.004194411042229957,0.0014000116281265302,33.378026474539666
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,11,240,264,29.0,0.014086262297177604,0.0026222293817291208,18.61550868788326
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,12,264,288,257.0,0.1219834737693845,0.0076268747266672,6.252383614756017
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,13,288,312,955.0,0.4361407879359546,0.014169083067344037,3.2487406496419466
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,14,312,336,1162.0,0.4872334631562204,0.014427678512693422,2.96114277932251
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.308,15,336,360,1308.0,0.5100626061788374,0.014332469706777973,2.809943236997998
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,1,0,24,1864.0,0.6137366829664245,0.014541992374724345,2.3694188042398454
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,2,24,48,1815.0,0.6524078522916662,0.015598599338663366,2.3909275898306994
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,3,48,72,1444.0,0.5728157767726706,0.015199795888134464,2.6535225642304017
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,4,72,96,540.0,0.22801631594018767,0.009854761743191179,4.3219546384462415
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,5,96,120,77.0,0.033052782536206256,0.0037738430584000724,11.417625896597897
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,6,120,144,12.0,0.005136171184201936,0.0014849751421493291,28.912103761589602
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,7,144,168,10.0,0.004310442309230338,0.0013646906213770824,31.660106399168075
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,8,168,192,3.0,0.0012726771292015352,0.0007354116628046184,57.78462156116597
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,9,192,216,3.0,0.0014115244955574882,0.0008244832914324387,58.41083835437125
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,10,216,240,9.0,0.003885654483833857,0.0012962670562086404,33.36032736831642
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,11,240,264,48.0,0.020766849213865853,0.0030059506854671044,14.474755676754548
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,12,264,288,546.0,0.22938152256131739,0.009849149011079984,4.29378482673867
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,13,288,312,1345.0,0.5332462346987693,0.01465866197868795,2.7489480515448226
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,14,312,336,1755.0,0.6314100076551442,0.01533485766803414,2.428668770231077
Q3p85_W2p62_t0p21_higheps_left,4,0.308,0.354,15,336,360,1772.0,0.5813571811111127,0.014147484205172128,2.433527040662489
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,1,0,24,1934.0,0.5527216089026517,0.01306787976028651,2.3642787887795604
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,2,24,48,3496.0,1.000696612929075,0.01741015427193782,1.7398034576111605
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,3,48,72,4042.0,1.2454167399088065,0.02003247467389267,1.6084956972201538
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,4,72,96,2083.0,0.680510300108127,0.015115629057895714,2.2212197310597617
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,5,96,120,161.0,0.05607113363581081,0.0044721181991919335,7.975794155044044
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,6,120,144,4.0,0.0017795744643649414,0.000889837595439812,50.002830073051165
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,7,144,168,4.0,0.0017996232432238282,0.0009116740996021123,50.65916452428942
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,8,168,192,3.0,0.0014109174310909921,0.0008198452033299271,58.107241803369156
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,9,192,216,3.0,0.0011956028292739677,0.0006924529826071634,57.91663967771446
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,10,216,240,11.0,0.005042659739839463,0.0015451864318657173,30.64229021161181
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,11,240,264,152.0,0.050541137057231886,0.00413676546846418,8.18494737025758
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,12,264,288,2089.0,0.6789590692049662,0.015072007366927721,2.219869805197011
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,13,288,312,4014.0,1.2378708587288847,0.01994547824779997,1.6112729455705184
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,14,312,336,3367.0,0.9685465244794202,0.01717578264298926,1.7733564892219291
Q3p85_W2p62_t0p21_higheps_left,5,0.354,0.5,15,336,360,2029.0,0.5810634926659105,0.01340490425194519,2.306960327251621
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,1,0,24,17.0,0.013870655392333396,0.0033756685954690435,24.336763476474562
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,2,24,48,23.0,0.018701974937382855,0.003929981489042936,21.01372449808713
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,3,48,72,78.0,0.061131238245865874,0.006951336379337616,11.371168945375835
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,4,72,96,396.0,0.28218183816910714,0.01427471581437095,5.058694034665809
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,5,96,120,862.0,0.5852703739513668,0.02009027307561434,3.432648220339228
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,6,120,144,1101.0,0.7391469130570445,0.022441277402998075,3.0361051377706483
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,7,144,168,1123.0,0.7399532172649285,0.02227280847131057,3.0100292763962866
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,8,168,192,1187.0,0.7839684728880791,0.022949519537027455,2.927352352892866
